wellId,MD,Inclination,Azimuth,TVD,TVDSS,North,East,Grid East,Grid North,DLS,Toolface,Build Rate,Turn  Rate,Vert   Sect,Major Semi,Minor Semi,Vert  Semi,Minor Azim,surface_latitude,surface_longitude,latitude_decimal_deg,longitude_decimal_deg
well_A,7821,77.73,172.52,7521.93,7345.93,-634.03,110.56,775569.84,3296677.6,9.06,-9.24,9.05,0.29,643.06,44.52,43.54,15.72,202.17,29.77150556,47.84973833,29.76975528,47.85003722
well_A,7840,79.3,172.26,7525.71,7349.71,-652.49,113.03,775570.59,3296671.97,8.37,5.26,8.26,-1.37,661.68,44.6,43.56,15.81,200.03,29.77150556,47.84973833,29.76970444,47.85004361
well_A,7874,82.64,172.57,7531.05,7355.05,-685.77,117.46,775571.94,3296661.83,9.86,10.89,9.82,0.91,695.25,44.75,43.6,15.84,196.44,29.77150556,47.84973833,29.7696125,47.850055
well_A,8015,88.42,173.68,7542.03,7366.03,-825.27,134.27,775577.07,3296619.28,4.17,8.34,4.1,0.79,835.75,45.63,44.7,15.85,203.68,29.77150556,47.84973833,29.76922806,47.85009694
well_A,8116,89.17,173.79,7544.15,7368.15,-925.64,145.29,775580.43,3296588.67,0.75,-141.64,0.74,0.11,936.7,46.19,44.83,16.21,191.52,29.77150556,47.84973833,29.76895139,47.85012389
well_A,8208,88.93,173.6,7545.68,7369.68,-1017.07,155.39,775583.51,3296560.79,0.33,177.71,-0.26,-0.21,1028.67,46.81,44.9,16.24,185.75,29.77150556,47.84973833,29.76869944,47.85014861
well_A,8304,88.68,173.61,7547.68,7371.68,-1112.46,166.09,775586.77,3296531.7,0.26,-142.14,-0.26,0.01,1124.63,47.54,44.95,16.28,182.32,29.77150556,47.84973833,29.76843639,47.850175
well_A,8400,88.5,173.47,7550.04,7374.04,-1207.82,176.88,775590.06,3296502.62,0.24,-21.19,-0.19,-0.15,1220.58,48.35,44.99,16.33,180.2,29.77150556,47.84973833,29.76817361,47.85020139
well_A,8496,90.1,172.85,7551.22,7375.22,-1303.12,188.32,775593.55,3296473.55,1.79,-6.63,1.67,-0.65,1316.57,49.21,45.03,16.4,178.76,29.77150556,47.84973833,29.76791083,47.85023
well_A,8590,90.53,172.8,7550.7,7374.7,-1396.39,200.06,775597.13,3296445.11,0.46,-120.5,0.46,-0.05,1410.56,50.12,45.07,16.49,177.73,29.77150556,47.84973833,29.76765361,47.85025972
well_A,8685,90.1,172.07,7550.18,7374.18,-1490.56,212.56,775600.94,3296416.39,0.89,155.32,-0.45,-0.77,1505.56,51.09,45.1,16.57,176.93,29.77150556,47.84973833,29.76739389,47.85029194
well_A,8779,89.36,172.41,7550.62,7374.62,-1583.69,225.25,775604.81,3296387.99,0.87,97.28,-0.79,0.36,1599.56,52.09,45.13,16.67,176.3,29.77150556,47.84973833,29.76713694,47.85032472
well_A,8875,89.24,173.35,7551.79,7375.79,-1678.95,237.15,775608.44,3296358.94,0.99,-153.45,-0.12,0.98,1695.55,53.17,45.17,16.78,175.84,29.77150556,47.84973833,29.76687444,47.85035472
well_A,8972,88.22,172.84,7553.94,7377.94,-1775.22,248.81,775612,3296329.58,1.18,71.69,-1.05,-0.53,1792.52,54.3,45.2,16.9,175.48,29.77150556,47.84973833,29.76660889,47.85038389
well_A,9067,88.74,174.41,7556.46,7380.46,-1869.59,259.35,775615.21,3296300.8,1.74,-82.2,0.55,1.65,1887.46,55.45,45.23,17.03,175.23,29.77150556,47.84973833,29.76634889,47.85040972
well_A,9162,88.99,172.59,7558.35,7382.35,-1963.96,270.11,775618.49,3296272.02,1.93,110.33,0.26,-1.92,1982.42,56.64,45.26,17.17,175.02,29.77150556,47.84973833,29.76608861,47.85043639
well_A,9258,88.25,174.59,7560.66,7384.66,-2059.33,280.82,775621.76,3296242.94,2.22,-118.93,-0.77,2.08,2078.37,57.89,45.3,17.32,174.85,29.77150556,47.84973833,29.76582583,47.8504625
well_A,9353,87.72,173.63,7564,7388,-2153.76,290.56,775624.73,3296214.14,1.15,16.69,-0.56,-1.01,2173.27,59.15,45.33,17.47,174.73,29.77150556,47.84973833,29.76556556,47.85048611
well_A,9448,87.82,173.66,7567.7,7391.7,-2248.11,301.07,775627.94,3296185.37,0.11,-113.32,0.11,0.03,2268.18,60.43,45.36,17.64,174.61,29.77150556,47.84973833,29.76530556,47.85051167
well_A,9545,87.48,172.87,7571.67,7395.67,-2344.36,312.44,775631.4,3296156.02,0.89,-118.47,-0.35,-0.81,2365.08,61.78,45.4,17.82,174.49,29.77150556,47.84973833,29.76504,47.85054
well_A,9640,87.35,172.63,7575.96,7399.96,-2438.5,324.41,775635.05,3296127.31,0.29,0,-0.14,-0.25,2459.99,63.12,45.43,18,174.37,29.77150556,47.84973833,29.76478056,47.85057056
