wellId,md,inc,azim,tvd,TVD from Fld Ref,n_s_deviaition,e_w_deviation,Grid East,Grid North,DLS,Toolface,Build Rate,Turn  Rate,Vert   Sect,Major Semi,Minor Semi,Vert  Semi,Minor Azim,surface_latitude,surface_longitude,latitude_decimal_deg,longitude_decimal_deg
well_C,6720,20.67,49.37,6711.16,6593.16,-37.3,16.19,769520.94,3300793.62,5.7,-2.75,5.67,-1.64,-23.12,43.23,41.88,12.17,116.38,29.80829444,47.78852083,29.80819083,47.78856889
well_C,6813,26.19,48.77,6796.46,6678.46,-13.07,44.1,769529.45,3300801.01,5.94,0.76,5.94,-0.65,12.2,43.32,41.91,12.36,117.15,29.80829444,47.78852083,29.80825556,47.78865889
well_C,6909,34.23,48.96,6879.36,6761.36,18.67,80.46,769540.54,3300810.69,8.38,-3.3,8.37,0.2,58.36,43.43,41.97,12.61,117.97,29.80829444,47.78852083,29.80834028,47.78877583
well_C,7002,40.44,48.41,6953.26,6835.26,55.9,122.79,769553.45,3300822.05,6.69,4.72,6.68,-0.59,112.34,43.57,42.06,12.95,118.8,29.80829444,47.78852083,29.80844,47.78891222
well_C,7098,44.43,48.88,7024.1,6906.1,98.69,171.41,769568.27,3300835.09,4.17,27.49,4.16,0.49,174.35,43.66,42.19,13.23,118.04,29.80829444,47.78852083,29.80855417,47.78906861
well_C,7191,45.39,49.58,7089.97,6971.97,141.56,221.14,769583.44,3300848.17,1.16,1.15,1.03,0.75,237.02,43.71,42.35,13.41,116.17,29.80829444,47.78852083,29.80866889,47.78922861
well_C,7286,48.78,49.67,7154.64,7036.64,186.62,274.13,769599.6,3300861.91,3.57,1.11,3.57,0.09,303.27,43.77,42.54,13.55,112.71,29.80829444,47.78852083,29.80878917,47.78939917
well_C,7379,51.19,49.73,7214.44,7096.44,232.69,328.45,769616.16,3300875.96,2.59,0.86,2.59,0.06,371.08,43.85,42.76,13.73,107.53,29.80829444,47.78852083,29.80891222,47.78957389
well_C,7475,53.89,49.78,7272.82,7154.82,281.91,386.61,769633.9,3300890.97,2.81,-13.53,2.81,0.05,443.6,43.99,43,13.88,99.09,29.80829444,47.78852083,29.80904361,47.78976083
well_C,7569,56.1,49.14,7326.74,7208.74,331.96,445.12,769651.74,3300906.23,2.42,2.08,2.35,-0.68,517,44.21,43.21,14.04,88.15,29.80829444,47.78852083,29.80917722,47.78994917
well_C,7663,58.69,49.25,7377.39,7259.39,383.7,505.05,769670.02,3300922.01,2.76,4.3,2.76,0.12,592.6,44.54,43.37,14.19,77.28,29.80829444,47.78852083,29.80931556,47.79014194
well_C,7758,61.62,49.5,7424.66,7306.66,437.34,567.59,769689.09,3300938.37,3.09,-7.08,3.08,0.26,671.18,45,43.48,14.36,69.03,29.80829444,47.78852083,29.80945889,47.79034333
well_C,7851,64.38,49.12,7466.88,7348.88,491.37,630.41,769708.24,3300954.84,2.99,-8.81,2.97,-0.41,750.24,45.55,43.55,14.53,63.66,29.80829444,47.78852083,29.80960306,47.79054528
well_C,7947,67.3,48.63,7506.16,7388.16,548.97,696.38,769728.36,3300972.41,3.08,3.02,3.04,-0.51,834,46.22,43.61,14.71,60.01,29.80829444,47.78852083,29.80975722,47.79075778
well_C,8040,70.15,48.79,7539.9,7421.9,606.15,761.49,769748.22,3300989.85,3.07,0.98,3.06,0.17,916.95,46.95,43.66,14.89,57.59,29.80829444,47.78852083,29.80991,47.79096722
well_C,8135,72.39,48.83,7570.41,7452.41,665.4,829.19,769768.86,3301007.91,2.36,3.42,2.36,0.04,1003.01,47.77,43.69,15.06,55.84,29.80829444,47.78852083,29.81006833,47.79118528
well_C,8229,75.47,49.02,7596.42,7478.42,724.74,897.28,769789.63,3301026.01,3.28,8.2,3.28,0.2,1089.37,48.66,43.73,15.22,54.59,29.80829444,47.78852083,29.81022694,47.79140444
well_C,8324,78.67,49.49,7617.68,7499.68,785.16,967.42,769811.01,3301044.44,3.4,1.22,3.37,0.49,1177.73,49.63,43.76,15.42,53.66,29.80829444,47.78852083,29.81038833,47.79163
well_C,8418,81.46,49.55,7633.9,7515.9,845.26,1037.84,769832.49,3301062.76,2.97,-4.73,2.97,0.06,1265.96,50.66,43.78,15.62,52.98,29.80829444,47.78852083,29.81054889,47.79185667
well_C,8512,84.59,49.29,7645.31,7527.31,905.95,1108.69,769854.1,3301081.27,3.34,-46.03,3.33,-0.28,1354.92,51.75,43.8,15.8,52.45,29.80829444,47.78852083,29.81071083,47.79208472
well_C,8606,86.2,47.62,7652.86,7534.86,968.09,1178.81,769875.48,3301100.22,2.46,-15.41,1.71,-1.78,1444.72,52.89,43.82,15.98,51.97,29.80829444,47.78852083,29.81087694,47.79231056
